region,iso3,survey_year,variable.x,denominator.x,numerator.x,birth.registration,variable.y,denominator.y,numerator.y,U5M,variable,denominator,numerator,education
Dowa,MWI,2016,registration,724.858833,452.177837,0.623815033236961,mortality,1700.8873945,97.559508,0.0573580051892142,education,2274.688119,197.312977,0.0867428705288806
Est,BFA,2011,registration,1624.225283,1163.099725,0.716095074478655,mortality,3977.2782555,669.737439,0.168390893464356,education,2860.838232,5.878235,0.0020547247076919
Faridpur,BGD,2014,registration,63.11575,19.158487,0.303545264058496,mortality,188.49544,12.9632725,0.0687723400629745,education,350.332916,67.528657,0.192755673006758
Feni,BGD,2014,registration,83.450083,25.228434,0.302317662164578,mortality,181.0580635,7.001888,0.0386720583698279,education,362.63503,63.526984,0.17518159787266
GOMBA,UGA,2016,registration,46.998861,3.725682,0.0792717508622177,mortality,97.387836,8.347606,0.0857150784210874,education,101.736087,0.630336,0.00619579559807524
GULU,UGA,2016,registration,239.558054,122.956574,0.513264204425371,mortality,546.5871005,49.545327,0.0906448889018375,education,565.786496,112.583026,0.198985000165151
Gaibandha,BGD,2014,registration,108.623373,23.126106,0.212901748134814,mortality,292.6890685,20.3567,0.0695505988806685,education,630.164717,107.902126,0.171228447244215
Gaza,MOZ,2011,registration,587.460345,182.11262,0.30999985199001,mortality,1369.717247,136.7500325,0.0998381474713226,education,1296.530865,57.108604,0.0440472383200843
Gazipur,BGD,2014,registration,139.076145,21.975403,0.158009865746566,mortality,327.7449305,23.0025985,0.0701844524792734,education,713.700993,173.275455,0.242784382674945
Gopalganj,BGD,2014,registration,62.716029,24.302461,0.387499996213089,mortality,161.2652045,6.702955,0.0415647939726514,education,360.617167,64.283931,0.178260872977242
Gorkha,NPL,2017,registration,31.152974,24.607131,0.789880638683164,mortality,94.553162,2.970178,0.031412783424419,education,269.69449,29.376753,0.108926040721114
Gulmi,NPL,2017,registration,64.020936,40.900937,0.638868150881143,mortality,156.9031865,4.446775,0.0283408839501166,education,337.256846,68.705521,0.203718684482983
HOIMA,UGA,2016,registration,215.527546,61.544344,0.28555210293166,mortality,446.99768,36.895419,0.0825405156465241,education,505.239078,67.391727,0.133385816605421
Habiganj,BGD,2014,registration,98.404701,26.732046,0.27165415603468,mortality,270.6512035,22.536708,0.0832684566281635,education,412.21013,34.207857,0.0829864540204289
Hauts Basins,BFA,2011,registration,1617.17799,1493.303964,0.923401118017937,mortality,3728.961678,463.734012,0.124360090567817,education,3865.866498,107.531993,0.0278157543866638
Humla,NPL,2017,registration,13.45575,11.620875,0.863636363636364,mortality,42.8344605,2.7341145,0.0638297872340426,education,42.202125,4.893,0.115942028985507
IBANDA,UGA,2016,registration,97.979512,9.551747,0.0974871869131171,mortality,236.268478,20.408784,0.0863796312261342,education,228.186174,32.449021,0.142204150370653
IGANGA,UGA,2016,registration,224.432909,26.213745,0.116799916361642,mortality,449.7211345,37.8483285,0.084159550433581,education,438.592144,52.847072,0.120492518443285
ISINGIRO,UGA,2016,registration,223.513267,20.981784,0.0938726558902654,mortality,483.919912,30.0845795,0.0621685091974475,education,445.963954,20.084808,0.0450368416995424
Ilam,NPL,2017,registration,65.286909,42.62732,0.652922931303119,mortality,167.935128,6.5595075,0.0390597701512455,education,385.233097,82.627676,0.214487479511658
Inhambane,MOZ,2011,registration,591.457307,256.572338,0.433796886036273,mortality,1461.3636055,85.907256,0.058785681863623,education,1496.523029,43.412143,0.0290086702033638
